year,total_population,child_0_14,adult_15_64,aged_65_plus
1950,8396603,3422000,4747000,230000
1955,9257977,3500000,5500000,250000
1960,10123658,3800000,5200000,250000
1970,12436190,4300000,5800000,290000
1980,15553105,5200000,7000000,350000
1990,19524573,8160000,10756000,700000
2000,24546509,9500000,13500000,800000
2010,27341952,9800000,16500000,900000
2020,28966574,8839000,18737000,1773000
2021,29164578,8900000,19000000,1800000
2022,29715436,8920000,19300000,1830000
2023,29694614,8819000,20171000,1907000
2024,29651054,8308464,19347694,1961962
2025,29618118,8308464,19347694,1961962
2030,30509996,8755000,22123000,2255000
2050,34642027,7404000,26004000,3994000
